Skill,Question,Option_A,Option_B,Option_C,Option_D,Correct_Answer
Jira,Which of the following is considered a common anti-pattern when developing with Jira?,Writing modular code,"Creating tightly coupled, unmaintainable components",Writing comprehensive tests,Using continuous integration,B
Jira,How can performance bottlenecks be identified in a Jira application?,Guessing based on intuition,Using monitoring and profiling tools specific to the environment,Asking end-users,Ignoring them until production,B
Jira,What is a typical use case for adopting Jira in a new project?,To write operating system drivers,To leverage its specific strengths for the project requirements,To increase project completion time,Because it is the oldest technology available,B
Jira,"In a modern CI/CD pipeline, how is Jira usually handled?",It is manually deployed on Fridays,It is tested and deployed via automated pipeline scripts,It is skipped during testing,It is only deployed locally,B
Redis,What is the primary purpose of using Redis in software development?,To manage data storage,To build user interfaces,To handle server-side logic,It depends on the specific use case of Redis,D
Redis,Which of the following is a key feature of Redis?,Built-in machine learning algorithms,Strong community support and ecosystem,Hardware-level memory management,Native browser rendering,B
Redis,"When debugging an application built with Redis, which approach is most effective?",Using print statements exclusively,Utilizing dedicated Redis debugging tools and profilers,Recompiling the kernel,Restarting the hardware,B
Redis,How does Redis typically handle configurations?,Hardcoded in the source code,Through environment variables and standard config files,Via a central database only,It does not require configuration,B
Redis,Which of the following best describes the architecture pattern commonly associated with Redis?,Monolithic only,Event-driven and modular,Peer-to-peer,Mainframe-based,B
Redis,What is the recommended way to handle dependencies in a Redis project?,Manual downloading of source files,Using the standard package manager for Redis,Copy-pasting code snippets,Writing everything from scratch,B
Redis,"In the context of Redis, what does a typical build or deployment process involve?",Compiling to machine code directly,"Linting, testing, and packaging the code",Uploading via FTP,Burning to a CD,B
Redis,Which of the following is a best practice for security when using Redis?,Storing credentials in public repositories,Keeping dependencies updated and validating input,Disabling SSL/TLS,Running as root user,B
Redis,What is a standard convention for organizing files in a Redis repository?,Putting everything in one large file,Following community-accepted directory structures,Organizing files alphabetically,Using randomly generated file names,B
Redis,How does Redis integrate with other common tools in the tech stack?,Through standardized APIs and plugins,It operates completely in isolation,By replacing the operating system,Only via command-line arguments,A
Redis,Which type of testing is most crucial when developing a complex application with Redis?,Manual click-testing only,Automated unit and integration testing,A/B testing exclusively,Penetration testing only,B
